Species,Dataset,File Name,Streptomycin,Vancomycin,Ceftriaxone,Oxacillin,Clindamycin,Fusidic acid,Erythromycin,Linezolid,Methicillin,Gentamicin,Trimethoprim-Sulfamethoxazole,Ciprofloxacin,Tetracycline,Chloramphenicol,Penicillin,Trimethoprim,Daptomycin,Cefoxitin,Amikacin,Ampicillin-Sulbactam,Cefepime,Cefotaxime,Ceftazidime,Colistin,Doripenem,Imipenem,Levofloxacin,Meropenem,Minocycline,Moxifloxacin,Polymyxin_B,Tigecycline,Tobramycin,Ampicillin,Amoxicillin-Clavulanic acid,Azithromycin,Sulfisoxazole,Kanamycin,Nalidixic acid,Ceftiofur,Capreomycin,Clarithromycin,Clofazimine,Cycloserine,Ethambutol,Ethionamide,Gatifloxacin,Isoniazid,Nicotinamide,Ofloxacin,para-aminosalicylic acid,Prothionamide,Pyrazinamide,Rifabutin,Rifampicin,Aztreonam,Cefuroxime,Piperacillin-Tazobactam
Staphylococcus aureus,PATRIC_genomes,1280.30838.fna,,,,,R,,R,,R,,,S,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.30839.fna,,,,,R,,R,,R,,,R,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.30841.fna,,,,,R,,R,,R,,,S,S,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.30842.fna,,,,,R,,R,,R,,,S,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.30843.fna,,,,,R,,R,,R,,,S,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.30844.fna,,,,,S,,S,,R,,,S,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.30845.fna,,,,,R,,R,,R,,,S,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.30846.fna,,,,,R,,R,,R,,,S,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.30847.fna,,,,,R,,R,,R,,,S,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.30848.fna,,,,,R,,R,,R,,,S,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.30849.fna,,,,,S,,R,,S,S,,S,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.30851.fna,,,,,R,,R,,R,,,S,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.30852.fna,,,,,R,,R,,R,,S,S,R,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.30853.fna,,,,,R,,R,,R,,,S,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.30854.fna,,,,,R,,R,,R,R,S,R,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.30855.fna,,,,,R,,R,,R,,S,S,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.30856.fna,,,,,R,,R,,R,,,R,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.30857.fna,,,,,R,,R,,R,S,,S,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.30858.fna,,,,,R,,R,,R,,,S,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.30859.fna,,,,,S,,R,,R,,,S,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.30861.fna,,,,,R,,R,,R,,,R,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.30862.fna,,,,,S,,R,,R,,,R,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.30863.fna,,,,,S,,R,,R,,,S,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.30864.fna,,,,,R,,R,,R,,,S,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.30865.fna,,,,,R,,R,,R,,,R,S,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.30866.fna,,,,,S,,R,,R,,,S,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.30867.fna,,,,,R,,R,,R,R,S,S,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.30868.fna,,,,,S,,R,,R,S,,S,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.30869.fna,,,,,R,,R,,R,,,R,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.30871.fna,,,,,R,,R,,R,,,R,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.30872.fna,,,,,S,,R,,R,R,R,R,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.30873.fna,,,,,S,,S,,S,R,R,S,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.30874.fna,,,,,S,,S,,S,,R,R,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.30875.fna,,,,,S,,S,,R,,,S,R,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.30876.fna,,,,,S,,S,,S,S,R,S,S,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.30877.fna,,,,,S,,S,,R,R,R,S,R,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.30878.fna,,,,,S,,R,,R,,S,S,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.30879.fna,,,,,R,,R,,S,,S,S,S,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.30881.fna,,,,,S,,R,,R,,R,S,R,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.30883.fna,,,,,R,,R,,R,R,R,R,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.30884.fna,,,,,S,,R,,S,S,,R,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.30885.fna,,,,,S,,R,,S,,,S,S,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.30886.fna,,,,,R,,R,,R,R,,S,R,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.30887.fna,,,,,S,,S,,S,,,S,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.30888.fna,,,,,R,,R,,R,R,,R,R,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.30889.fna,,,,,S,,S,,S,,R,S,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.30891.fna,,,,,S,,R,,R,,,S,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.30892.fna,,,,,S,,R,,S,,,S,R,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.30893.fna,,,,,S,,S,,R,,,S,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.30894.fna,,,,,S,,S,,R,,,S,S,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.30895.fna,,,,,S,,R,,R,S,,S,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.30896.fna,,,,,S,,S,,R,,,S,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.30897.fna,,,,,S,,S,,S,,,S,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.30898.fna,,,,,R,,R,,R,R,,R,R,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.30899.fna,,,,,S,,S,,R,R,,R,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.30901.fna,,,,,S,,S,,R,,,R,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.30902.fna,,,,,S,,S,,R,R,R,S,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.30903.fna,,,,,S,,S,,S,,,R,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.30904.fna,,,,,S,,S,,R,R,R,S,S,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.30905.fna,,,,,S,,S,,S,,,S,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.30906.fna,,,,,S,,S,,S,,,S,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.30907.fna,,,,,S,,S,,S,S,,S,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.30908.fna,,,,,S,,S,,S,,,S,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.30909.fna,,,,,S,,S,,S,S,,S,R,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.30911.fna,,,,,R,,R,,R,R,,S,S,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.30912.fna,,,,,S,,S,,S,,,S,S,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.30913.fna,,,,,S,,R,,R,R,,S,R,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.30914.fna,,,,,S,,S,,S,R,R,S,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.30915.fna,,,,,S,,S,,S,S,R,S,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.30916.fna,,,,,S,,S,,S,,R,S,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.30917.fna,,,,,S,,S,,S,,R,S,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.30918.fna,,,,,S,,S,,S,,R,S,S,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.30919.fna,,,,,S,,S,,S,,R,S,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.30921.fna,,,,,S,,S,,S,,R,S,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.30922.fna,,,,,S,,S,,S,S,,S,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.30923.fna,,,,,S,,S,,S,,,S,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.30924.fna,,,,,S,,S,,R,R,,S,R,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.30925.fna,,,,,S,,S,,R,R,,S,S,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.30926.fna,,,,,S,,S,,S,,,S,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.30927.fna,,,,,S,,S,,S,,,S,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.31199.fna,,,,,S,,S,,R,R,,S,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.31201.fna,,,,,S,,S,,S,R,,S,R,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.31202.fna,,,,,R,,R,,R,R,R,R,R,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.31203.fna,,,,,S,,S,,S,,,S,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.31204.fna,,,,,S,,S,,R,,,R,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.31205.fna,,,,,R,,R,,R,S,R,S,R,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.31206.fna,,,,,S,,S,,S,S,,S,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.31207.fna,,,,,S,,S,,S,,,S,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.31208.fna,,,,,S,,S,,S,S,,S,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.31209.fna,,,,,S,,S,,R,R,S,R,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.31211.fna,,,,,S,,S,,S,,S,S,S,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.31212.fna,,,,,S,,S,,S,S,,S,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.31213.fna,,,,,S,,S,,S,,S,S,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.31214.fna,,,,,S,,S,,S,,,S,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.31215.fna,,,,,S,,S,,S,,,S,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.31216.fna,,,,,S,,S,,S,,,S,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.31217.fna,,,,,S,,S,,S,,,S,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.31218.fna,,,,,S,,S,,S,,,S,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.31219.fna,,,,,S,,S,,S,,,S,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.31221.fna,,,,,S,,S,,S,,,S,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.31222.fna,,,,,S,,S,,S,,S,S,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.31223.fna,,,,,S,,S,,S,,,S,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.31224.fna,,,,,S,,S,,S,,,S,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.31225.fna,,,,,S,,S,,S,,,S,S,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.31226.fna,,,,,S,,S,,S,,S,S,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.31227.fna,,,,,S,,S,,S,S,S,S,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.31228.fna,,,,,S,,S,,S,R,,S,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.31229.fna,,,,,S,,S,,S,,,S,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.31231.fna,,,,,S,,S,,S,,,S,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.31232.fna,,,,,S,,S,,S,,,S,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.31233.fna,,,,,S,,S,,S,,,S,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.31234.fna,,,,,S,,S,,S,S,,S,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.31235.fna,,,,,S,,S,,S,,,S,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.31236.fna,,,,,S,,S,,S,,,S,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.31237.fna,,,,,S,,S,,S,,,S,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.31238.fna,,,,,S,,S,,S,,,S,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.31239.fna,,,,,S,,S,,S,,,S,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.31241.fna,,,,,S,,S,,S,,,S,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.31242.fna,,,,,S,,S,,S,,S,S,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.31243.fna,,,,,S,,S,,S,,,S,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.31244.fna,,,,,S,,S,,S,,,S,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.31245.fna,,,,,S,,S,,S,,,S,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.31246.fna,,,,,S,,S,,S,,S,S,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.31247.fna,,,,,S,,S,,S,S,,S,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.31248.fna,,,,,S,,S,,S,,,S,S,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.31249.fna,,,,,S,,S,,S,,,S,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.31251.fna,,,,,S,,S,,S,,,S,S,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.31252.fna,,,,,S,,S,,S,,,S,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.31253.fna,,,,,S,,S,,S,,S,S,S,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.31254.fna,,,,,S,,S,,S,R,,S,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.31255.fna,,,,,S,,S,,S,,,S,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.31256.fna,,,,,S,,S,,S,,,S,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.31257.fna,,,,,S,,S,,S,,,S,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.31258.fna,,,,,S,,S,,S,,,S,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.31259.fna,,,,,S,,S,,S,,,S,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.31261.fna,,,,,S,,S,,S,R,,S,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.31262.fna,,,,,S,,S,,S,,,S,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.31263.fna,,,,,S,,S,,S,,,S,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.31264.fna,,,,,S,,S,,S,R,,S,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.31265.fna,,,,,S,,S,,S,,,S,S,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.31266.fna,,,,,S,,S,,S,,,S,S,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.31267.fna,,,,,S,,S,,S,S,S,S,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.31268.fna,,,,,S,,S,,S,,,S,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PATRIC_genomes,1280.31269.fna,,,,,S,,S,,S,,,S,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
